Column1,Column2,Column3,Column4,Column5,Column6,Column7
7709.63,1352.65,4813.37,99.25,61.24,8.93,
5623.83,1458.54,3794.62,99.25,61.24,8.93,
5545.50,1109.15,3524.11,99.25,61.24,8.93,
5047.25,1289.80,3470.59,99.25,61.24,8.93,
4751.70,699.50,3511.76,99.25,61.24,8.93,
4703.55,749.20,3744.67,99.25,61.24,8.93,
4390.87,999.60,3007.34,99.25,61.24,8.93,
4236.44,564.03,3330.22,99.25,61.24,8.93,
4200.97,1099.73,3194.47,99.25,61.24,8.93,
4084.64,476.00,3037.21,99.25,61.24,8.93,
3973.54,264.89,2870.79,99.25,61.24,8.93,
3945.30,535.03,3236.94,99.25,61.24,8.93,
3897.81,482.50,1784.54,99.25,61.24,8.93,
3810.21,597.05,3039.79,99.25,61.24,8.93,
3729.90,756.40,2532.44,99.25,61.24,8.93,
3620.73,638.00,2453.30,99.25,61.24,8.93,
3608.87,252.00,2036.22,99.25,61.24,8.93,
3595.85,837.40,2778.81,99.25,61.24,8.93,
3575.52,631.93,2728.52,99.25,61.24,8.93,
3555.88,467.67,2596.11,99.25,61.24,8.93,
3542.20,589.06,2317.55,99.25,61.24,8.93,
3500.60,457.51,3022.92,99.25,61.24,8.93,
3442.13,599.72,2544.61,99.25,61.24,8.93,
3429.80,848.10,2633.46,99.25,61.24,8.93,
3413.05,1859.52,2051.29,99.25,61.24,8.93,
3405.47,702.10,2026.20,99.25,61.24,8.93,
3383.02,939.02,2439.92,99.25,61.24,8.93,
3341.58,902.15,2197.40,99.25,61.24,8.93,
3332.00,460.01,2453.30,99.25,61.24,8.93,
3310.28,0.00,2356.42,99.25,61.24,8.93,
3289.76,615.07,2587.05,99.25,61.24,8.93,
3267.76,529.00,2209.06,99.25,61.24,8.93,
3264.00,336.00,2443.27,99.25,61.24,8.93,
3263.87,760.10,2607.60,99.25,61.24,8.93,
3248.43,463.50,2613.30,99.25,61.24,8.93,
3246.00,494.52,2837.18,99.25,61.24,8.93,
3150.00,250.00,2762.43,99.25,61.24,8.93,
3149.76,587.50,2262.53,99.25,61.24,8.93,
3143.46,497.56,2693.04,99.25,61.24,8.93,
3123.58,696.90,2187.63,99.25,61.24,8.93,
3092.32,619.92,1726.63,99.25,61.24,8.93,
3081.60,423.14,2556.14,99.25,61.24,8.93,
3081.10,373.53,2368.30,99.25,61.24,8.93,
3064.07,1291.78,2109.34,99.25,61.24,8.93,
3061.35,370.06,2399.08,99.25,61.24,8.93,
3056.20,672.00,2278.01,99.25,61.24,8.93,
3022.30,437.53,2567.89,99.25,61.24,8.93,
2980.00,380.08,2440.89,99.25,61.24,8.93,
2931.60,442.40,1659.48,99.25,61.24,8.93,
2913.25,575.59,2482.85,99.25,61.24,8.93,
2909.28,654.50,1977.98,99.25,61.24,8.93,
2901.75,510.26,2057.51,99.25,61.24,8.93,
2864.48,777.00,1584.81,99.25,61.24,8.93,
2824.36,787.63,2212.02,99.25,61.24,8.93,
2807.27,859.00,1913.96,99.25,61.24,8.93,
2794.08,390.02,2261.99,99.25,61.24,8.93,
2758.25,825.61,1995.92,99.25,61.24,8.93,
2752.50,385.52,2367.98,99.25,61.24,8.93,
2724.90,879.20,2028.74,99.25,61.24,8.93,
2717.25,1112.00,1962.02,99.25,61.24,8.93,
2698.00,275.00,2414.00,99.25,61.24,8.93,
2697.88,591.60,1937.95,99.25,61.24,8.93,
2676.00,140.00,1611.05,99.25,61.24,8.93,
2675.26,540.06,2135.21,99.25,61.24,8.93,
2673.16,582.00,1807.17,99.25,61.24,8.93,
2671.10,385.14,1957.21,99.25,61.24,8.93,
2670.80,236.20,2319.73,99.25,61.24,8.93,
2658.05,1287.02,1536.89,99.25,61.24,8.93,
2619.00,165.90,1652.32,99.25,61.24,8.93,
2609.41,519.93,1735.54,99.25,61.24,8.93,
2601.68,379.86,1695.45,99.25,61.24,8.93,
2601.53,734.64,1873.65,99.25,61.24,8.93,
2601.28,369.92,1856.62,99.25,61.24,8.93,
2587.78,582.09,2032.53,99.25,61.24,8.93,
2582.86,357.50,2132.86,99.25,61.24,8.93,
2578.75,391.20,1639.63,99.25,61.24,8.93,
2576.74,387.03,2273.06,99.25,61.24,8.93,
2568.52,277.00,2251.29,99.25,61.24,8.93,
2563.12,718.00,2078.03,99.25,61.24,8.93,
2556.20,118.90,2028.88,99.25,61.24,8.93,
2545.09,448.00,1857.91,99.25,61.24,8.93,
2539.80,638.14,1821.31,99.25,61.24,8.93,
2522.13,449.25,1747.82,99.25,61.24,8.93,
2520.33,526.62,1627.71,99.25,61.24,8.93,
2512.94,265.44,1676.76,99.25,61.24,8.93,
2505.40,430.00,1832.54,99.25,61.24,8.93,
2500.00,411.28,1987.58,99.25,61.24,8.93,
2497.30,231.00,1493.91,99.25,61.24,8.93,
2482.84,180.04,1697.46,99.25,61.24,8.93,
2461.58,0.00,2289.77,99.25,61.24,8.93,
2461.00,505.00,1525.17,99.25,61.24,8.93,
2455.19,455.00,1982.25,99.25,61.24,8.93,
2454.10,645.13,1633.03,99.25,61.24,8.93,
2448.56,302.62,2061.53,99.25,61.24,8.93,
2447.48,421.53,2204.16,99.25,61.24,8.93,
2438.19,255.65,1893.53,99.25,61.24,8.93,
2426.51,367.55,1504.61,99.25,61.24,8.93,
2422.91,501.57,1898.80,99.25,61.24,8.93,
2411.50,739.80,1598.47,99.25,61.24,8.93,
2409.60,270.01,2174.10,99.25,61.24,8.93,
2408.22,335.11,1922.88,99.25,61.24,8.93,
2404.90,363.00,9.00,99.25,61.24,8.93,
2393.13,423.12,1890.39,99.25,61.24,8.93,
2383.25,350.35,1393.58,99.25,61.24,8.93,
2381.78,371.20,2020.23,99.25,61.24,8.93,
2376.39,561.20,1799.55,99.25,61.24,8.93,
2375.62,250.00,680.48,99.25,61.24,8.93,
2367.13,336.00,1412.35,99.25,61.24,8.93,
2365.48,760.71,1510.80,99.25,61.24,8.93,
2364.75,605.00,1557.12,99.25,61.24,8.93,
2362.10,225.00,2119.05,99.25,61.24,8.93,
2343.94,321.03,1707.10,99.25,61.24,8.93,
2335.42,560.14,1626.26,99.25,61.24,8.93,
2333.85,759.50,1799.60,99.25,61.24,8.93,
2314.25,278.80,1620.90,99.25,61.24,8.93,
2311.80,275.00,1841.45,99.25,61.24,8.93,
2298.30,452.40,1424.40,99.25,61.24,8.93,
2289.43,656.60,1861.04,99.25,61.24,8.93,
2282.92,474.61,1485.16,99.25,61.24,8.93,
2273.95,329.54,1753.71,99.25,61.24,8.93,
2267.26,553.81,1683.04,99.25,61.24,8.93,
2257.47,352.55,1425.96,99.25,61.24,8.93,
2254.00,250.00,1883.65,99.25,61.24,8.93,
2252.70,190.19,598.00,99.25,61.24,8.93,
2247.80,697.80,1341.86,99.25,61.24,8.93,
2234.01,886.20,1480.49,99.25,61.24,8.93,
2224.59,342.60,1879.54,99.25,61.24,8.93,
2221.56,555.77,1332.48,99.25,61.24,8.93,
2219.21,314.29,1982.05,99.25,61.24,8.93,
2212.60,318.00,1820.93,99.25,61.24,8.93,
2207.63,16.25,1690.22,99.25,61.24,8.93,
2206.00,426.54,1972.32,99.25,61.24,8.93,
2187.74,357.20,1300.98,99.25,61.24,8.93,
2175.95,0.00,1691.52,99.25,61.24,8.93,
2173.20,315.02,1913.88,99.25,61.24,8.93,
2166.80,454.21,1421.22,99.25,61.24,8.93,
2164.63,307.54,1632.30,99.25,61.24,8.93,
2162.70,314.60,1629.18,99.25,61.24,8.93,
2161.80,402.40,1724.79,99.25,61.24,8.93,
2159.39,282.24,1548.83,99.25,61.24,8.93,
2148.00,1050.00,1383.21,99.25,61.24,8.93,
2145.15,318.00,1647.64,99.25,61.24,8.93,
2137.63,323.60,1538.40,99.25,61.24,8.93,
2135.90,307.54,1898.45,99.25,61.24,8.93,
2133.55,1150.99,983.98,99.25,61.24,8.93,
2132.20,379.60,1639.15,99.25,61.24,8.93,
2127.25,525.00,1898.39,99.25,61.24,8.93,
2126.20,434.36,1615.17,99.25,61.24,8.93,
2123.05,850.70,1095.50,99.25,61.24,8.93,
2119.82,362.53,1570.43,99.25,61.24,8.93,
2117.72,333.20,1325.36,99.25,61.24,8.93,
2116.13,540.13,1344.24,99.25,61.24,8.93,
2111.20,174.97,1797.42,99.25,61.24,8.93,
2100.00,414.89,1491.46,99.25,61.24,8.93,
2094.00,280.00,1724.70,99.25,61.24,8.93,
2094.00,298.40,1707.68,99.25,61.24,8.93,
2093.66,291.20,1315.73,99.25,61.24,8.93,
2093.64,294.95,1538.70,99.25,61.24,8.93,
2093.30,368.80,1856.25,99.25,61.24,8.93,
2085.23,495.06,1546.98,99.25,61.24,8.93,
2084.58,396.28,1878.13,99.25,61.24,8.93,
2081.59,418.00,1392.02,99.25,61.24,8.93,
2080.40,610.57,1314.45,99.25,61.24,8.93,
2077.80,255.00,1606.61,99.25,61.24,8.93,
2063.20,300.00,1669.23,99.25,61.24,8.93,
2061.00,317.52,1527.70,99.25,61.24,8.93,
2058.00,527.80,1477.27,99.25,61.24,8.93,
2051.50,353.52,978.00,99.25,61.24,8.93,
2048.07,419.26,1514.18,99.25,61.24,8.93,
2044.13,482.89,1294.39,99.25,61.24,8.93,
2042.00,250.00,1673.65,99.25,61.24,8.93,
2040.77,617.00,1637.63,99.25,61.24,8.93,
2036.00,167.20,1748.00,99.25,61.24,8.93,
2022.85,527.93,1169.24,99.25,61.24,8.93,
2017.50,593.25,1148.11,99.25,61.24,8.93,
2013.80,250.00,1616.45,99.25,61.24,8.93,
2000.98,276.03,1574.70,99.25,61.24,8.93,
2000.70,447.30,1539.96,99.25,61.24,8.93,
1991.96,239.90,1700.08,99.25,61.24,8.93,
1990.00,250.00,1685.00,99.25,61.24,8.93,
1987.12,523.13,1442.35,99.25,61.24,8.93,
1967.63,367.57,1295.28,99.25,61.24,8.93,
1950.00,770.75,986.95,99.25,61.24,8.93,
1949.37,445.00,1155.10,99.25,61.24,8.93,
1945.70,271.66,1492.91,99.25,61.24,8.93,
1945.49,647.01,1275.13,99.25,61.24,8.93,
1944.55,706.33,1104.47,99.25,61.24,8.93,
1943.57,418.95,1367.23,99.25,61.24,8.93,
1937.90,373.00,1462.16,99.25,61.24,8.93,
1937.56,300.16,1427.80,99.25,61.24,8.93,
1933.42,259.91,1238.27,99.25,61.24,8.93,
1930.84,239.25,1446.37,99.25,61.24,8.93,
1929.28,904.69,1638.50,99.25,61.24,8.93,
1926.50,225.00,1783.32,99.25,61.24,8.93,
1924.64,474.85,1312.52,99.25,61.24,8.93,
1922.68,449.04,1250.53,99.25,61.24,8.93,
1919.12,350.00,1223.23,99.25,61.24,8.93,
1917.01,352.80,1253.70,99.25,61.24,8.93,
1915.77,712.51,909.63,99.25,61.24,8.93,
1914.80,280.90,1544.05,99.25,61.24,8.93,
1912.12,544.94,1054.47,99.25,61.24,8.93,
1907.25,367.92,1770.99,99.25,61.24,8.93,
1905.41,302.24,1183.15,99.25,61.24,8.93,
1904.75,464.34,1341.22,99.25,61.24,8.93,
1895.60,254.53,1461.82,99.25,61.24,8.93,
1891.92,870.75,1342.26,99.25,61.24,8.93,
1891.80,224.00,1228.22,99.25,61.24,8.93,
1886.52,408.00,1276.50,99.25,61.24,8.93,
1883.91,534.24,1110.40,99.25,61.24,8.93,
1883.80,187.50,1530.00,99.25,61.24,8.93,
1882.50,201.60,1072.69,99.25,61.24,8.93,
1874.94,560.00,1171.16,99.25,61.24,8.93,
1874.53,549.51,1213.25,99.25,61.24,8.93,
1866.60,280.00,1255.38,99.25,61.24,8.93,
1858.80,499.09,1132.55,99.25,61.24,8.93,
1858.46,600.60,1620.56,99.25,61.24,8.93,
1852.25,271.01,1361.98,99.25,61.24,8.93,
1851.33,786.56,1049.97,99.25,61.24,8.93,
1850.00,632.50,1168.30,99.25,61.24,8.93,
1846.80,298.75,1422.45,99.25,61.24,8.93,
1846.40,581.95,1254.78,99.25,61.24,8.93,
1845.23,0.00,1203.69,99.25,61.24,8.93,
1845.10,290.50,1657.50,99.25,61.24,8.93,
1842.70,318.00,1439.03,99.25,61.24,8.93,
1840.00,474.00,1608.00,99.25,61.24,8.93,
1837.93,374.85,1210.23,99.25,61.24,8.93,
1832.41,554.00,1160.02,99.25,61.24,8.93,
1832.00,150.00,1606.00,99.25,61.24,8.93,
1831.90,650.50,1427.17,99.25,61.24,8.93,
1829.74,310.17,1145.71,99.25,61.24,8.93,
1811.74,444.50,1224.84,99.25,61.24,8.93,
1804.00,490.00,1208.40,99.25,61.24,8.93,
1796.53,342.50,1507.35,99.25,61.24,8.93,
1795.56,289.86,1401.39,99.25,61.24,8.93,
1790.00,272.51,1410.00,99.25,61.24,8.93,
1783.57,201.03,1065.95,99.25,61.24,8.93,
